Modality,Gender,Race_ETH,Tobacco_Ever,Afib,PVD,Statins,anyPhysicalActivity,Age,HDL,H1A1c,TotCholesterol,LDL,Triglycerides,Creatinine,SBP,DBP,BMI,N_AntiHTNperYR
CT,F,Asian and Pacific Islander,0,0,0,0,0,70.93069306930693,50.12871287128713,7.796039603960395,200.37623762376236,114.52475247524752,206.68316831683168,1.2821782178217822,143.65258415841583,74.20343564356436,31.72980198019802,1.3445544554455444
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,0,0,1,61.33096186681844,61.17444507683552,5.907199772339215,206.9023904,121.72467273762095,128.15082527034718,0.7319706886738759,127.10138830392715,73.14097638019351,24.11878628343768,0.3557554517741168
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,0,1,0,71.43125,45.99375,7.9643749999999995,165.4875,84.69375,215.4625,1.6331875,137.91523124999998,69.23283124999999,33.0385,2.0976027397260273
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,0,1,1,67.21651376,57.66477064220184,6.545339449541284,179.40660550458716,94.87706422018348,144.40385321100916,0.8122366972477065,130.77565963302752,71.35240366972477,25.13606422018349,1.0650305391479202
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,1,0,0,74.78260869565217,56.869565217391305,6.513043478260869,204.65217391304347,119.30434782608695,142.43478260869566,1.3156521739130431,146.0603043478261,72.90204347826088,27.033043478260876,1.271709351
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,1,0,1,68.72916666666667,63.895833333333336,5.9624999999999995,203.04166666666666,115.75,130.4375,0.765,128.207125,68.83375000000001,22.591875,0.5203767123287671
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,1,1,0,75.57777777777778,49.266666666666666,7.246666666666666,158.0222222222222,80.8,146.0222222222222,1.6346666666666667,138.1083111111111,66.70815555555555,28.62177777777778,2.2165601217656015
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,1,1,1,72.93693693693693,57.567567567567565,6.727027027027028,175.63063063063063,90.36036036036036,159.16216216216216,1.0260360360360359,132.8430810810811,66.73776576576576,24.359639639639635,1.582993952856967
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,0,0,0,80.92,47.6,6.8,179.52,106.6,145.96,1.1108000000000002,132.31364,68.44736,28.4004,1.8408767123287673
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,0,0,1,72.64052288,60.50326797385621,5.926797385620914,198.64705882352942,113.12418300653594,125.36601307189542,0.8718954248366013,130.5675229,69.89829411764705,23.736143790849674,0.9053809651714567
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,0,1,0,76.16216216216216,47.7027027,7.121621621621623,162.24324324324326,83.32432432432432,170.7027027027027,1.6189189189189186,133.2468108108108,67.70456756756757,29.467027027027026,2.312106627
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
