Modality,Gender,Race_ETH,Tobacco_Ever,Afib,PVD,Statins,anyPhysicalActivity,weight
CT,F,Hispanic,0,0,0,1,1,0.029482415584333163
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,1,0,0,0.000523582
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,1,0,1,0.000441078
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,1,1,0,0.00096466
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,1,1,1,0.000682243
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,0,0,0,0.000656857
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,0,0,1,0.000650511
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,0,1,0,0.000990046
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,0,1,1,0.000748881
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,1,0,0,5.711801533936034e-05
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,1,0,1,2.5385784595271262e-05
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,1,1,0,0.000155488
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,1,1,1,6.663768456258707e-05
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,0,0,0,0,0.010011518799760104
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,0,0,0,1,0.016630862132977087
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,0,0,1,0,0.010312974991828951
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,0,0,1,1,0.011858334629066089
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,0,1,0,0,0.000380787
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,0,1,0,1,0.000234819
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,0,1,1,0,0.000780613
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,0,1,1,1,0.000460117
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,1,0,0,0,0.000387133
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,1,0,0,1,0.000215779
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,1,0,1,0,0.000793306
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,1,0,1,1,0.000399826
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,1,1,0,0,4.759834611613362e-05
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,1,1,0,1,1.2692892297635631e-05
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,1,1,1,0,0.000139622
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,1,1,1,1,5.0771569190542523e-05
,,,,,,,,
,,,,,,,,
CT,F,White,0,0,0,0,0,0.006371832
,,,,,,,,
,,,,,,,,
CT,F,White,0,0,0,0,1,0.045862593
,,,,,,,,
,,,,,,,,
CT,F,White,0,0,0,1,0,0.005565833
,,,,,,,,
,,,,,,,,
CT,F,White,0,0,0,1,1,0.023358095050723972
,,,,,,,,
,,,,,,,,
CT,F,White,0,0,1,0,0,0.000609259
,,,,,,,,
,,,,,,,,
CT,F,White,0,0,1,0,1,0.00056166
,,,,,,,,
,,,,,,,,
CT,F,White,0,0,1,1,0,0.000717148
,,,,,,,,
,,,,,,,,
CT,F,White,0,0,1,1,1,0.000688589
,,,,,,,,
,,,,,,,,
CT,F,White,0,1,0,0,0,0.001307368
,,,,,,,,
,,,,,,,,
CT,F,White,0,1,0,0,1,0.001894414
,,,,,,,,
,,,,,,,,
CT,F,White,0,1,0,1,0,0.00154536
,,,,,,,,
,,,,,,,,
CT,F,White,0,1,0,1,1,0.001802391
,,,,,,,,
,,,,,,,,
CT,F,White,0,1,1,0,0,0.000206259
,,,,,,,,
,,,,,,,,
CT,F,White,0,1,1,0,1,6.981090763699597e-05
,,,,,,,,
,,,,,,,,
CT,F,White,0,1,1,1,0,0.000314149
,,,,,,,,
,,,,,,,,
CT,F,White,0,1,1,1,1,0.000142795
,,,,,,,,
,,,,,,,,
CT,F,White,1,0,0,0,0,0.009960747
,,,,,,,,
,,,,,,,,
CT,F,White,1,0,0,0,1,0.030497846968144015
,,,,,,,,
,,,,,,,,
CT,F,White,1,0,0,1,0,0.010100369045843554
,,,,,,,,
,,,,,,,,
CT,F,White,1,0,0,1,1,0.019854856776576536
,,,,,,,,
,,,,,,,,
CT,F,White,1,0,1,0,0,0.000878983
,,,,,,,,
,,,,,,,,
CT,F,White,1,0,1,0,1,0.000517235
,,,,,,,,
,,,,,,,,
CT,F,White,1,0,1,1,0,0.001754792
,,,,,,,,
,,,,,,,,
CT,F,White,1,0,1,1,1,0.000926581
,,,,,,,,
,,,,,,,,
CT,F,White,1,1,0,0,0,0.001621517
,,,,,,,,
,,,,,,,,
CT,F,White,1,1,0,0,1,0.001212171
,,,,,,,,
,,,,,,,,
CT,F,White,1,1,0,1,0,0.002373571
,,,,,,,,
,,,,,,,,
CT,F,White,1,1,0,1,1,0.001631037
,,,,,,,,
,,,,,,,,
CT,F,White,1,1,1,0,0,0.00029511
,,,,,,,,
,,,,,,,,
CT,F,White,1,1,1,0,1,7.615735378581379e-05
,,,,,,,,
,,,,,,,,
CT,F,White,1,1,1,1,0,0.000520409
,,,,,,,,
,,,,,,,,
CT,F,White,1,1,1,1,1,0.000203086
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,0,0,0,0,0.000444251
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,0,0,0,1,0.004978787
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,0,0,1,0,0.000406173
,,,,,,,,
,,,,,,,,
CT,F,Multiple/Other/Unknown,0,0,0,1,1,0.002633775
,,,,,,,,
